ITEM,Consumo
27/12/2003,13897.1916231136
28/12/2003,12704.0307743777
29/12/2003,14696.3768556686
30/12/2003,15212.1332626937
31/12/2003,14744.8135861024
01/01/2004,12960.8032046265
02/01/2004,14198.0485066330
03/01/2004,13972.2224472750
04/01/2004,13149.8127913542
05/01/2004,15373.0806366621
06/01/2004,15865.7901020960
07/01/2004,14184.4358819236
08/01/2004,16174.5987556150
09/01/2004,15968.7290504808
10/01/2004,14784.7129128521
11/01/2004,13339.2492417329
12/01/2004,15470.7367243890
13/01/2004,15610.2523217424
14/01/2004,15343.7063257796
15/01/2004,15643.3140310420
16/01/2004,15670.7416684215
17/01/2004,13623.9190936176
18/01/2004,12391.6767931045
19/01/2004,15100.3940059324
20/01/2004,15468.4822370174
21/01/2004,14540.1465059609
22/01/2004,15585.9798443722
23/01/2004,15248.7907653327
24/01/2004,13643.0351001850
25/01/2004,12537.0296646420
26/01/2004,15182.2301944371
27/01/2004,15650.8330545260
28/01/2004,15705.5054680387
29/01/2004,15230.9492843493
30/01/2004,14648.7731224718
31/01/2004,13595.9022633870
01/02/2004,12382.2498237455
02/02/2004,14744.4319895935
03/02/2004,15017.9240107963
04/02/2004,14585.7233589597
05/02/2004,14531.7912790391
06/02/2004,14704.0909753453
07/02/2004,13390.0228915196
08/02/2004,12023.5877214246
09/02/2004,14208.9901879004
10/02/2004,14826.8427120962
11/02/2004,15091.7018249164
12/02/2004,15130.4732544154
13/02/2004,15163.2640190223
14/02/2004,14437.7795262311
15/02/2004,12158.1336873805
16/02/2004,14570.1663409404
17/02/2004,15090.1252766701
18/02/2004,15173.6724954213
19/02/2004,15084.8583760732
20/02/2004,14872.2938890872
21/02/2004,13701.1884335999
22/02/2004,12229.8789791433
23/02/2004,12995.7493252025
24/02/2004,12464.2198641810
25/02/2004,13991.2537153159
26/02/2004,14812.5303715686
27/02/2004,14633.3432037819
28/02/2004,13735.8221194197
29/02/2004,12614.2213472093
01/03/2004,14802.5855278179
02/03/2004,15415.3957554652
03/03/2004,15764.0377773022
04/03/2004,15711.2904264395
05/03/2004,15446.8429167803
06/03/2004,13937.0919632712
07/03/2004,12635.3759599015
08/03/2004,15030.7356984221
09/03/2004,15127.0892386420
10/03/2004,15113.8730789732
11/03/2004,15351.7130882693
12/03/2004,15384.7733610088
13/03/2004,13858.9301225050
14/03/2004,12730.8937357669
15/03/2004,15044.0976968968
16/03/2004,15313.1483120443
17/03/2004,15029.6644746284
18/03/2004,14825.6529040380
19/03/2004,14986.2889087829
20/03/2004,13888.8573088391
21/03/2004,12823.6049056836
22/03/2004,15232.5058255624
23/03/2004,15095.3516285558
24/03/2004,15203.1619654826
25/03/2004,15140.2229752587
26/03/2004,14754.2149260457
27/03/2004,13556.6109049998
28/03/2004,12457.0955920961
29/03/2004,14401.9952597519
30/03/2004,14998.7068831087
31/03/2004,15243.2718776604
01/04/2004,15961.1790446202
02/04/2004,15905.6456288200
03/04/2004,14861.5439836670
04/04/2004,13554.0242247305
05/04/2004,16117.4263153458
06/04/2004,16236.0396187605
07/04/2004,15747.9136845918
08/04/2004,15051.9318046945
09/04/2004,12750.5370699564
10/04/2004,13851.5302017050
11/04/2004,13107.7915956852
12/04/2004,15426.1911504982
13/04/2004,8561.7000313072
14/04/2004,8822.5428905114
15/04/2004,15713.6335859462
16/04/2004,15945.3123812795
17/04/2004,14658.3393417587
18/04/2004,13133.4967528162
19/04/2004,15876.6742536502
20/04/2004,16063.7521292378
21/04/2004,13969.3531713379
22/04/2004,16382.8943627620
23/04/2004,16145.1854840276
24/04/2004,14585.7100537161
25/04/2004,13072.3506425648
26/04/2004,15604.5583847671
27/04/2004,15876.4612602572
28/04/2004,16404.2534356106
29/04/2004,16405.2826311393
30/04/2004,16465.9448842355
01/05/2004,13779.8634751387
02/05/2004,13134.5102867295
03/05/2004,15838.3291826171
04/05/2004,15872.6945117395
05/05/2004,15902.9568887394
06/05/2004,16038.3909910944
07/05/2004,15919.1825062094
08/05/2004,14413.4022422890
